MODULE 0 — THỬ TÀI PHẢN XẠ · 10 QUY TẮC CỦA XƯỞNG SÁNG TẠO,,,,,
Bố cục mỗi bài: PHẦN 1 — Xem video  ·  PHẦN 2 — Thử tài phản xạ (2 câu hỏi). Đáp án đúng đánh dấu ✔.,,,,,
,,,,,
STT,MÃ,TÊN QUY TẮC,LINK VIDEO,CÂU HỎI THỬ TÀI PHẢN XẠ,HÌNH ẢNH MINH HOẠ (cắt từ video)
6,QT6,"Để bảo vệ cậu và mọi người, hình ảnh cá nhân là điều hạn chế nhé!",https://youtu.be/K-AOZvWGoj4,"CÂU 1. Tấm ảnh hai bạn chụp trước cổng trường trông rất bình thường. Thật ra trong ảnh có mấy chỗ nguy hiểm?

A. Một chỗ
B. Ba chỗ   ✔ ĐÁP ÁN
C. Không có chỗ nào

✅ Đúng: Đúng! Ba chỗ: bảng tên trên áo, tên trường trên cổng, và người lạ đứng phía sau.
💡 Sai: Chưa đúng nhé. Có tới ba chỗ lận: bảng tên áo, tên trường trên cổng, và người lạ phía sau.",https://drive.google.com/file/d/1QD4Flm4Q4-IHBH3VuL1HyRyDfzfGI2m7/view?usp=drive_link
,,,,"CÂU 2. Trước khi đưa một tấm ảnh cho AI, con phải kiểm ba thứ nào?

A. Màu sắc — ánh sáng — độ nét
B. NGƯỜI — THÔNG TIN — ĐỊA ĐIỂM   ✔ ĐÁP ÁN
C. Ngày — giờ — thời tiết

✅ Đúng: Chính xác! Có thì che đi hoặc chọn tấm khác, rồi hỏi bố mẹ một câu cho chắc.
💡 Sai: Chưa đúng. Ba thứ phải kiểm là NGƯỜI (có ai khác không), THÔNG TIN (tên, bảng tên, giấy tờ) và ĐỊA ĐIỂM (trường, nhà, chỗ hay đến).",https://drive.google.com/file/d/18KGTA2wKPo0ajOaHfDnGl4cLbgbtE_KB/view?usp=drive_link
7,QT7,Hãy tôn trọng sự thật & đưa những thông tin chính xác!,https://youtu.be/V25rcXxSLGw,"CÂU 1. AKI nói cá voi xanh dài ba trăm mét, giọng chắc như đinh đóng cột — mà lại sai. Làm sao biết lúc nào AKI đang nói sai?

A. Nghe giọng AKI là biết ngay
B. Mở sách, hỏi thầy cô và bố mẹ   ✔ ĐÁP ÁN

✅ Đúng: Đúng! Nghe AKI xong thì phải kiểm lại, chắc chắn đúng rồi mới kể cho người khác.
💡 Sai: Chưa đúng nhé. AKI sai cũng nói to như đúng — nghe giọng thì không biết được đâu, phải kiểm lại.",https://drive.google.com/file/d/1tWyWH7j9Y-fvYUsjknZS9SYhds4nLNHV/view?usp=drive_link
,,,,"CÂU 2. Ba thứ AKI hay nói sai, phải kiểm lại là gì?

A. Màu sắc — hình dáng — kích thước
B. Số liệu — ngày tháng — tên người   ✔ ĐÁP ÁN
C. Chữ viết — dấu câu — chính tả

✅ Đúng: Chuẩn rồi! Ba thứ này gặp là phải mở sách hoặc hỏi người lớn.
💡 Sai: Chưa đúng. Ba chỗ AKI hay sai nhất là số liệu, ngày tháng và tên người.",https://drive.google.com/file/d/1zS0DPZfX749LEkT9Z5mGPzT3n_hI5TmW/view?usp=drive_link
8,QT8,"Nếu AKI làm chưa tốt, cậu hãy thử sửa mô tả, đừng chỉ bấm nhé!",https://youtu.be/G_CSEYb3FhA,"CÂU 1. Mimi bấm bảy lần rồi mà AKI vẫn ra sai con mèo. Bấm tiếp lần thứ tám thì có ra đúng không?

A. Có chứ, bấm mãi rồi cũng ra
B. Không đâu — bấm lại nghĩa là hỏi AKI y hệt câu cũ   ✔ ĐÁP ÁN

✅ Đúng: Đúng! Câu hỏi không đổi thì câu trả lời cũng thế thôi.
💡 Sai: Chưa đúng nhé. Bấm lại là hỏi lại đúng câu cũ, nên AKI vẫn trả lời y như vậy.",https://drive.google.com/file/d/1984n1FuvHK0skW0EZEc2cihvuy6Etp9H/view?usp=drive_link
,,,,"CÂU 2. Khi AKI làm chưa đúng, ba bước sửa là gì?

A. Bấm lại — đợi một lúc — bấm tiếp
B. Gọi tên chỗ sai — tìm chỗ thiếu trong câu tả — viết thêm rồi mới tạo   ✔ ĐÁP ÁN

✅ Đúng: Chính xác! “Dễ thương” có cả triệu kiểu, còn “tai trái bị rách” thì chỉ có đúng một.
💡 Sai: Chưa đúng. Ba bước là: gọi tên chỗ sai, tìm chỗ thiếu trong câu tả, viết thêm rồi mới bấm tạo.",https://drive.google.com/file/d/16CDBughX38E9SmJDtXkEhk1aO7Skyug5/view?usp=drive_link
9,QT9,Hãy luôn kiểm tra và đọc kỹ lại những gì AKI viết ra!,https://youtu.be/xuiCccbt1VQ,"CÂU 1. Tấm băng rôn in nhầm chữ VIỆT NEM. Ai mới là người phải đọc lại những gì AKI viết ra?

A. AKI
B. Chính các bạn nhỏ   ✔ ĐÁP ÁN

✅ Đúng: Đúng rồi! AKI viết nhanh nên cũng gõ nhầm — người dùng phải đọc lại.
💡 Sai: Chưa đúng nhé. AKI đâu biết tên trường, tên cô của con viết thế nào — con mới là người đọc lại.",https://drive.google.com/file/d/1Gul4kpI1_2IkexB7l_GIgcP2Ejnfaqg5/view?usp=drive_link
,,,,"CÂU 2. Vì sao phải đọc TO lên chứ không đọc thầm bằng mắt?

A. Vì đọc to thì nhanh hơn
B. Vì đọc thầm thì mắt tự đoán và bỏ qua chỗ sai, còn đọc to thì tai bắt được ngay   ✔ ĐÁP ÁN
C. Vì đọc to thì AKI nghe thấy

✅ Đúng: Chuẩn! Đọc TO một lượt trước khi in hoặc gửi đi.
💡 Sai: Chưa đúng. Mắt đọc thầm hay tự đoán rồi lướt qua chỗ sai; đọc to lên thì cái tai sẽ bắt được.",https://drive.google.com/file/d/1fc7lJZI9sy5fMSIpnM1JVcyUPoY_Pg2F/view?usp=drive_link
10,QT10,"Bài tập ở trường là của cậu, đừng bắt AKI phải làm nhé!",https://youtu.be/5OH5fFoBWvY,"CÂU 1. Zico nhờ AKI làm hộ bài về nhà, được mười điểm. Hôm sau đi kiểm tra, Zico có làm được không?

A. Làm được chứ
B. Không làm được — vì hôm ấy AKI đâu có ngồi cạnh   ✔ ĐÁP ÁN

✅ Đúng: Đúng! Làm hộ thì tờ giấy được điểm, còn cái đầu vẫn chưa hiểu.
💡 Sai: Chưa đúng nhé. Bài tập giống tập thể dục — có người tập hộ thì mình đâu có cao lên được.",https://drive.google.com/file/d/12FSvhktwFWBelkNceqRx5eibf52PQqW-/view?usp=drive_link
,,,,"CÂU 2. Nhờ AKI kiểu nào thì được?

A. AKI làm hộ tớ bài này
B. AKI giảng cho tớ hiểu vì sao 7 cộng 5 bằng 12   ✔ ĐÁP ÁN

✅ Đúng: Chính xác! Nhờ GIẢNG thì được, nhờ LÀM HỘ thì không.
💡 Sai: Chưa đúng. Nhờ làm hộ thì con vẫn không hiểu; nhờ giảng thì con tự làm được.",https://drive.google.com/file/d/1RJQLIRihQBKmpVX3Zmy23Xoe8JzQfr0Z/view?usp=drive_link
