MODULE 4 — VƯƠNG QUỐC TRUYỆN TRANH AI,,,,,,,,
"Cậu viết được một câu chuyện có cốt rồi biến nó thành cuốn truyện tranh in được. Sản phẩm: truyện tranh tám trang có bìa, đóng gáy được. Câu chốt: AKI vẽ được truyện, nhưng cậu mới là người nghĩ ra câu chuyện.",,,,,,,,
,,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Điểm chặn,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
,4. LÀM CÙNG,3:00–4:00,"Tớ thử kể một chuyện khác của tớ nhé. Tớ có 1 chú Mèo Máy Ommi, Bình thường, tối nào Ommi cũng ôm chú cá bông đi ngủ. Một hôm, đến giờ ngủ thì chú cá bông biến mất. Ommi tìm trên giường, dưới bàn, trong giỏ đồ chơi mà vẫn không thấy. Cuối cùng, Ommi nghe tiếng “meo” ngoài cửa và phát hiện chú cá bông đang mắc trong chiếc chăn mà Ommi kéo ra sân lúc chiều. Thế là Ommi ôm cá bông về giường và ngủ ngon. Bình thường – Có chuyện – Giải quyết. Đủ ba cổng!
Các cậu có thể lấy ý tưởng ngay từ Hồ sơ nhân vật của mình. Bạn ấy thích thứ gì? Sợ điều gì? Dở việc gì? Chỉ cần một trong những điều ấy gặp rắc rối là câu chuyện có thể bắt đầu rồi.","[playful] Tớ thử kể một chuyện khác của tớ nhé. [cheerful] Tớ có 1 chú Mèo Máy Ommi, Bình thường, tối nào Ommi cũng ôm chú cá bông đi ngủ. [gasps] Một hôm, đến giờ ngủ thì chú cá bông biến mất. [worried] Ommi tìm trên giường, dưới bàn, trong giỏ đồ chơi mà vẫn không thấy. [surprised] Cuối cùng, Ommi nghe tiếng “meo” ngoài cửa và phát hiện chú cá bông đang mắc trong chiếc chăn mà Ommi kéo ra sân lúc chiều. [relieved] Thế là Ommi ôm cá bông về giường và ngủ ngon. [proud] Bình thường – Có chuyện – Giải quyết. Đủ ba cổng!
[encouraging] Các cậu có thể lấy ý tưởng ngay từ Hồ sơ nhân vật của mình. [curious] Bạn ấy thích thứ gì? Sợ điều gì? Dở việc gì? [excited] Chỉ cần một trong những điều ấy gặp rắc rối là câu chuyện có thể bắt đầu rồi.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH + CHỐT + OUTRO,4:00–5:30,"Bây giờ đến lượt các cậu. Lấy thẻ nhân vật ra, nhìn lại Hồ sơ rồi kể một câu chuyện bằng miệng. Nhớ đủ ba cổng: Bình thường – Có chuyện – Giải quyết. Ghi âm lại, nghe một lần và kiểm tra xem mình có bỏ quên cổng nào không. Nếu thiếu, kể lại lần nữa.
Và nhớ nhé: Bình thường – Có chuyện – Giải quyết. Ba cổng này sẽ giúp những việc bình thường biến thành một câu chuyện có đầu, có giữa và có kết thúc.
Buổi sau, chúng mình sẽ lấy chính câu chuyện ấy và chia thành những chặng nhỏ để bắt đầu làm truyện tranh. Tớ chờ các cậu! Bái bai!","[excited] Bây giờ đến lượt các cậu. [deliberate] Lấy thẻ nhân vật ra, nhìn lại Hồ sơ rồi kể một câu chuyện bằng miệng. [emphasized] Nhớ đủ ba cổng: Bình thường – Có chuyện – Giải quyết. [calm] Ghi âm lại, nghe một lần và kiểm tra xem mình có bỏ quên cổng nào không. [encouraging] Nếu thiếu, kể lại lần nữa.
[emphasized] Và nhớ nhé: Bình thường – Có chuyện – Giải quyết. [warm] Ba cổng này sẽ giúp những việc bình thường biến thành một câu chuyện có đầu, có giữa và có kết thúc.
[cheerful] Buổi sau, chúng mình sẽ lấy chính câu chuyện ấy và chia thành những chặng nhỏ để bắt đầu làm truyện tranh. [warm] Tớ chờ các cậu! Bái bai!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
,,,,,,,,
Bài 4.2 — 04 CHẶNG THỬ THÁCH,,,,,,,,
1.2,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay mình đến với bài 4.2: Bốn chặng thử thách. Lấy Hồ sơ nhân vật ra để trước mặt nhé, vì hôm nay chúng mình sẽ biến câu chuyện của buổi trước thành một cái khung thật rõ ràng.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [curious] Hôm nay mình đến với bài 4.2: Bốn chặng thử thách. [encouraging] Lấy Hồ sơ nhân vật ra để trước mặt nhé, vì hôm nay chúng mình sẽ biến câu chuyện của buổi trước thành một cái khung thật rõ ràng.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–0:50,"Hôm qua Lala viết chuyện cho Bơ thế này: “Bơ muốn tìm chiếc huy hiệu bị mất. Bơ đi tìm. Bơ tìm thấy ngay. Hết.” Ơ... nhanh quá! Tớ còn chưa kịp lo cho Bơ thì câu chuyện đã xong rồi. Vì từ đầu đến cuối, chẳng có gì làm khó bạn ấy cả. Một câu chuyện mà nhân vật muốn gì cũng có ngay thì giống như chơi trò chơi mà vừa vào đã thắng. Chán lắm!","[cheerful] Hôm qua Lala viết chuyện cho Bơ thế này: [deliberate] “Bơ muốn tìm chiếc huy hiệu bị mất. Bơ đi tìm. Bơ tìm thấy ngay. Hết.” [surprised] Ơ... nhanh quá! [confused] Tớ còn chưa kịp lo cho Bơ thì câu chuyện đã xong rồi. [thoughtful] Vì từ đầu đến cuối, chẳng có gì làm khó bạn ấy cả. [playful] Một câu chuyện mà nhân vật muốn gì cũng có ngay thì giống như chơi trò chơi mà vừa vào đã thắng. [disappointed] Chán lắm!", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,0:50–2:00,"Vậy hôm nay, tớ sẽ chỉ cho các cậu, để câu chuyện hay hơn, chúng mình sẽ cùng nhau đi qua BỐN CHẶNG. Chặng một: MUỐN - Nhân vật đang muốn làm gì hoặc tìm thứ gì? Chặng hai: CẢN - Có điều gì khiến việc đó trở nên khó khăn? Chặng ba: LÀM - Nhân vật thử làm gì để vượt qua? Chặng bốn: KẾT - Cuối cùng chuyện thế nào? Nhớ nhé: MUỐN - CẢN - LÀM - KẾT

Trong bốn chặng, CẢN là chặng rất quan trọng. Và các cậu đã có sẵn một nơi để tìm rồi: Hồ sơ nhân vật. Hãy nhìn vào ô SỢ hoặc DỞ. Ví dụ Bơ rất sợ tiếng sấm. Nếu chiếc huy hiệu chỉ nằm dưới gầm bàn thì dễ quá. Nhưng nếu Bơ phát hiện nó ở ngoài sân đúng lúc trời bắt đầu có sấm thì sao? À, bây giờ câu chuyện mới thật sự là chuyện của Bơ","[excited] Vậy hôm nay, tớ sẽ chỉ cho các cậu, để câu chuyện hay hơn, chúng mình sẽ cùng nhau đi qua BỐN CHẶNG. [deliberate] Chặng một: MUỐN - Nhân vật đang muốn làm gì hoặc tìm thứ gì? [curious] Chặng hai: CẢN - Có điều gì khiến việc đó trở nên khó khăn? [determined] Chặng ba: LÀM - Nhân vật thử làm gì để vượt qua? [thoughtful] Chặng bốn: KẾT - Cuối cùng chuyện thế nào? [emphasized] Nhớ nhé: MUỐN - CẢN - LÀM - KẾT

[serious] Trong bốn chặng, CẢN là chặng rất quan trọng. [playful] Và các cậu đã có sẵn một nơi để tìm rồi: Hồ sơ nhân vật. [deliberate] Hãy nhìn vào ô SỢ hoặc DỞ. [worried] Ví dụ Bơ rất sợ tiếng sấm. [calm] Nếu chiếc huy hiệu chỉ nằm dưới gầm bàn thì dễ quá. [dramatic] Nhưng nếu Bơ phát hiện nó ở ngoài sân đúng lúc trời bắt đầu có sấm thì sao? [excited] À, bây giờ câu chuyện mới thật sự là chuyện của Bơ","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,4. LÀM CÙNG,2:00–4:00,"Tớ làm thử nhé. MUỐN: Bơ muốn lấy lại chiếc huy hiệu yêu thích. CẢN: huy hiệu nằm ngoài sân, mà trời đang nổi sấm — thứ Bơ sợ nhất. LÀM: Bơ đứng ở cửa một lúc, rồi lấy chiếc ô lớn, vừa che đầu vừa chạy thật nhanh ra sân. KẾT ra sao: Bơ lấy lại được huy hiệu. Bạn ấy vẫn còn sợ tiếng sấm, nhưng lần này đã dám bước ra ngoài. Đấy! Chỉ bốn dòng thôi mà mình đã biết chuyện sẽ đi đâu rồi.","[playful] Tớ làm thử nhé. [deliberate] MUỐN: Bơ muốn lấy lại chiếc huy hiệu yêu thích. [worried] CẢN: huy hiệu nằm ngoài sân, mà trời đang nổi sấm — thứ Bơ sợ nhất. [determined] LÀM: Bơ đứng ở cửa một lúc, rồi lấy chiếc ô lớn, vừa che đầu vừa chạy thật nhanh ra sân. [proud] KẾT ra sao: Bơ lấy lại được huy hiệu. [warm] Bạn ấy vẫn còn sợ tiếng sấm, nhưng lần này đã dám bước ra ngoài. [cheerful] Đấy! Chỉ bốn dòng thôi mà mình đã biết chuyện sẽ đi đâu rồi.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH + CHỐT + OUTRO,4:00–5:30,"Bây giờ đến lượt các cậu. Mở Hồ sơ nhân vật và viết bốn dòng: Bạn ấy muốn gì? Điều gì cản lại? Bạn ấy làm cách nào? Cuối cùng ra sao? Nếu chưa nghĩ được “CẢN”, thử nhìn vào ô Sợ hoặc Dở xem có dùng được không. Viết xong, đọc to cả bốn dòng một lần. Nếu chỗ nào nghe quá dễ hoặc quá nhanh, hãy thử làm cho thử thách khó hơn một chút.

Và nhớ câu hôm nay nhé: MUỐN - CẢN - LÀM - KẾT. Bốn chặng này chính là bộ xương để buổi sau chúng mình bắt đầu chia câu chuyện thành từng khung truyện. Tớ chờ các cậu! Bái bai!","[excited] Bây giờ đến lượt các cậu. [deliberate] Mở Hồ sơ nhân vật và viết bốn dòng: [curious] Bạn ấy muốn gì? Điều gì cản lại? Bạn ấy làm cách nào? Cuối cùng ra sao? [encouraging] Nếu chưa nghĩ được “CẢN”, thử nhìn vào ô Sợ hoặc Dở xem có dùng được không. [calm] Viết xong, đọc to cả bốn dòng một lần. [playful] Nếu chỗ nào nghe quá dễ hoặc quá nhanh, hãy thử làm cho thử thách khó hơn một chút.

[emphasized] Và nhớ câu hôm nay nhé: MUỐN - CẢN - LÀM - KẾT. [warm] Bốn chặng này chính là bộ xương để buổi sau chúng mình bắt đầu chia câu chuyện thành từng khung truyện. [cheerful] Tớ chờ các cậu! Bái bai!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
,,,,,,,,
Bài 4.3 — BẢN ĐỒ 8 Ô - P1: MỞ,,,,,,,,
1.3,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay mình đến với bài 4.3: Bản đồ tám ô – Phần một. Chuẩn bị một tờ giấy và một cây bút chì nhé. Hôm nay mình chưa cần tạo hình đẹp đâu, mình sẽ vẽ trước đường đi của câu chuyện.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [curious] Hôm nay mình đến với bài 4.3: Bản đồ tám ô – Phần một. [deliberate] Chuẩn bị một tờ giấy và một cây bút chì nhé. [calm] Hôm nay mình chưa cần tạo hình đẹp đâu, mình sẽ vẽ trước đường đi của câu chuyện.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–0:50,"Hôm qua Nina sốt ruột quá nên tạo luôn tám bức cho câu chuyện của Mít. Bức nào cũng đẹp. Nhưng khi xếp tám bức cạnh nhau thì... ơ? Có hai bức Mít đang chạy giống hệt nhau, rồi tự nhiên từ đang tìm đồ nhảy thẳng sang tìm thấy. Nina đưa cho mấy người xem thử, mỗi người lại kể ra một câu chuyện khác nhau. Tám bức rất đẹp, nhưng câu chuyện thì chẳng ai hiểu. Nina đã quên một bước quan trọng: lên bản đồ trước khi tạo hình.","[cheerful] Hôm qua Nina sốt ruột quá nên tạo luôn tám bức cho câu chuyện của Mít. [proud] Bức nào cũng đẹp. [confused] Nhưng khi xếp tám bức cạnh nhau thì... ơ? [surprised] Có hai bức Mít đang chạy giống hệt nhau, rồi tự nhiên từ đang tìm đồ nhảy thẳng sang tìm thấy. [thoughtful] Nina đưa cho mấy người xem thử, mỗi người lại kể ra một câu chuyện khác nhau. [disappointed] Tám bức rất đẹp, nhưng câu chuyện thì chẳng ai hiểu. [serious] Nina đã quên một bước quan trọng: lên bản đồ trước khi tạo hình.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,0:50–2:00,"Cách làm rất đơn giản. Lấy một tờ giấy, chia thành tám ô rồi vẽ nhanh bằng hình que. Đầu tròn, người một nét, tay chân vài nét là đủ. Tờ giấy này gọi là STORYBOARD, tức là bản nháp để mình nhìn được cả câu chuyện trước khi làm tranh thật. Nó không cần đẹp, chỉ cần các cậu nhìn vào và hiểu chuyện gì đang xảy ra.

Nhớ bốn chặng hôm trước không? MUỐN – CẢN – LÀM – KẾT. Hôm nay mình sẽ kéo bốn chặng ấy ra thành tám ô. Và có một luật rất dễ nhớ: MỘT Ô – MỘT VIỆC. Đừng nhét quá nhiều việc vào một ô, cũng đừng vẽ hai ô giống hệt nhau. Nhìn từ ô một đến ô tám, câu chuyện phải tiến lên từng bước.","[calm] Cách làm rất đơn giản. [deliberate] Lấy một tờ giấy, chia thành tám ô rồi vẽ nhanh bằng hình que. [playful] Đầu tròn, người một nét, tay chân vài nét là đủ. [emphasized] Tờ giấy này gọi là STORYBOARD, tức là bản nháp để mình nhìn được cả câu chuyện trước khi làm tranh thật. [gentle] Nó không cần đẹp, chỉ cần các cậu nhìn vào và hiểu chuyện gì đang xảy ra.

[curious] Nhớ bốn chặng hôm trước không? MUỐN – CẢN – LÀM – KẾT. [excited] Hôm nay mình sẽ kéo bốn chặng ấy ra thành tám ô. [emphasized] Và có một luật rất dễ nhớ: MỘT Ô – MỘT VIỆC. [serious] Đừng nhét quá nhiều việc vào một ô, cũng đừng vẽ hai ô giống hệt nhau. [encouraging] Nhìn từ ô một đến ô tám, câu chuyện phải tiến lên từng bước.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,4. LÀM CÙNG,2:00–4:00,"Tớ làm thử nhé. Câu chuyện của Mít là tìm chiếc máy bay giấy bị gió cuốn mất. Ô một: Mít đang chơi máy bay giấy. Ô hai: một cơn gió mạnh thổi tới. Ô ba: máy bay bay qua hàng rào. Ô bốn: Mít chạy đi tìm. Ô năm: Mít nhìn thấy máy bay mắc trên một cành cây cao. Ô sáu: Mít thử nhảy lên lấy nhưng không tới. Ô bảy: Mít dùng một cây gậy dài khều xuống. Ô tám: Mít lấy lại được máy bay và vui vẻ mang về. Đấy, tám ô, tám việc khác nhau. Chưa cần đẹp mà đã nhìn ra cả câu chuyện rồi.","[playful] Tớ làm thử nhé. [cheerful] Câu chuyện của Mít là tìm chiếc máy bay giấy bị gió cuốn mất. [deliberate] Ô một: Mít đang chơi máy bay giấy. [surprised] Ô hai: một cơn gió mạnh thổi tới. [dramatic] Ô ba: máy bay bay qua hàng rào. [determined] Ô bốn: Mít chạy đi tìm. [curious] Ô năm: Mít nhìn thấy máy bay mắc trên một cành cây cao. [worried] Ô sáu: Mít thử nhảy lên lấy nhưng không tới. [thoughtful] Ô bảy: Mít dùng một cây gậy dài khều xuống. [proud] Ô tám: Mít lấy lại được máy bay và vui vẻ mang về. [cheerful] Đấy, tám ô, tám việc khác nhau. Chưa cần đẹp mà đã nhìn ra cả câu chuyện rồi.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH + CHỐT + OUTRO,4:00–5:30,"Bây giờ đến lượt các cậu. Lấy câu chuyện MUỐN – CẢN – LÀM – KẾT của buổi trước và chia nó thành tám ô. Vẽ hình que thật nhanh, rồi dưới mỗi ô viết một câu ngắn xem chuyện gì đang xảy ra. Xong xuôi, nhìn lại và kiểm tra: Có ô nào bị trùng không? Có đoạn nào đang nhảy quá nhanh không? Nhìn tám ô có hiểu được câu chuyện không? Nếu chưa, sửa ngay trên giấy. Gạch đi, vẽ lại thoải mái nhé — đây chính là lúc để sửa.

Và nhớ câu hôm nay: Một ô – một việc. Storyboard càng rõ thì lúc tạo tranh thật càng dễ. Buổi sau, chúng mình sẽ dùng chính bản đồ tám ô này để bắt đầu biến từng ô thành những khung truyện thật sự. Tớ chờ các cậu! Bái bai!","[excited] Bây giờ đến lượt các cậu. [deliberate] Lấy câu chuyện MUỐN – CẢN – LÀM – KẾT của buổi trước và chia nó thành tám ô. [playful] Vẽ hình que thật nhanh, rồi dưới mỗi ô viết một câu ngắn xem chuyện gì đang xảy ra. [curious] Xong xuôi, nhìn lại và kiểm tra: Có ô nào bị trùng không? Có đoạn nào đang nhảy quá nhanh không? [thoughtful] Nhìn tám ô có hiểu được câu chuyện không? [encouraging] Nếu chưa, sửa ngay trên giấy. [gentle] Gạch đi, vẽ lại thoải mái nhé — đây chính là lúc để sửa.

[emphasized] Và nhớ câu hôm nay: Một ô – một việc. [calm] Storyboard càng rõ thì lúc tạo tranh thật càng dễ. [cheerful] Buổi sau, chúng mình sẽ dùng chính bản đồ tám ô này để bắt đầu biến từng ô thành những khung truyện thật sự. [warm] Tớ chờ các cậu! Bái bai!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
,,,,,,,,
Bài 4.4 — BẢN ĐỒ 8 Ô - P2: KHOÁ,,,,,,,,
1.3,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay mình đến với bài 4.4: Bản đồ tám ô – Phần hai. Nút tạo hình mở rồi! Nhưng nhớ để hai thứ ngay cạnh nhé: Storyboard tám ô và Luật vẽ nhân vật. Để cho tiện, những thứ này các cậu có thể lưu phần Ghi chú của máy hoặc ở đâu đó trên điện thoại, hoặc máy tính nha. Hôm nay chúng mình sẽ biến tám ô vẽ tay thành tám khung truyện thật.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [curious] Hôm nay mình đến với bài 4.4: Bản đồ tám ô – Phần hai. [excited] Nút tạo hình mở rồi! [serious] Nhưng nhớ để hai thứ ngay cạnh nhé: Storyboard tám ô và Luật vẽ nhân vật. [calm] Để cho tiện, những thứ này các cậu có thể lưu phần Ghi chú của máy hoặc ở đâu đó trên điện thoại, hoặc máy tính nha. [determined] Hôm nay chúng mình sẽ biến tám ô vẽ tay thành tám khung truyện thật.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–0:50,"Nina có storyboard của Mít rồi nên bắt đầu tạo. Khung một, ổn. Khung hai, ổn. Đến khung năm thì... ơ? Mít tự nhiên đổi áo. Khung sáu lại đổi cả kiểu tóc. Khung bảy còn chuyển sang một kiểu vẽ khác hẳn. Nina xếp tám hình cạnh nhau mà nhìn cứ như mấy câu chuyện khác nhau ghép lại. Vì storyboard chỉ giúp tớ nhớ chuyện gì xảy ra, còn Luật vẽ nhân vật mới giúp tớ nhớ Mít là ai.","[cheerful] Nina có storyboard của Mít rồi nên bắt đầu tạo. [calm] Khung một, ổn. Khung hai, ổn. [surprised] Đến khung năm thì... ơ? Mít tự nhiên đổi áo. [confused] Khung sáu lại đổi cả kiểu tóc. [worried] Khung bảy còn chuyển sang một kiểu vẽ khác hẳn. [disappointed] Nina xếp tám hình cạnh nhau mà nhìn cứ như mấy câu chuyện khác nhau ghép lại. [thoughtful] Vì storyboard chỉ giúp tớ nhớ chuyện gì xảy ra, còn Luật vẽ nhân vật mới giúp tớ nhớ Mít là ai.", Tình huống,,,
