MODULE 5 — NHÀ PHÁT MINH TRÒ CHƠI AI,,,,,,,,
"Cậu thiết kế được một bộ thẻ và một trò chơi công bằng, chơi được thật. Sản phẩm: mười hai thẻ, bàn cờ, bản luật, đã chơi ít nhất một ván với gia đình. Câu chốt: trò chơi hay là trò chơi công bằng.",,,,,,,,
,,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Điểm chặn,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
,4. LÀM CÙNG,3:00–4:00,"Tớ thử nhé. Chủ đề của tớ là 12 thứ trong căn bếp. Tớ ghi: nồi, chảo, thớt, dao, rổ, chai nước mắm, lọ muối, đũa cả, ấm nước... Khi viết xong các cậu phải kiểm tra hai lỗi. Lỗi một là TRÙNG — hai món thật ra gần như một thứ, thì phải loại ra. Lỗi hai là, ừm,  hơi NHẠT NHẼO — kiểu như món đó chẳng có gì thú vị để đưa vào trò chơi ấy. Muốn kiểm tra, hãy hỏi: “Nếu món này thành một chiếc thẻ, nó có thể làm được gì?” Ví dụ như Cái ấm nước có thể hú còi. Cái rổ có thể giữ đồ. Nếu nghĩ mãi chẳng ra gì, thử đổi sang món khác, hoặc hỏi bố mẹ, anh chị xem nhé!","[playful] Tớ thử nhé. [cheerful] Chủ đề của tớ là 12 thứ trong căn bếp. [deliberate] Tớ ghi: nồi, chảo, thớt, dao, rổ, chai nước mắm, lọ muối, đũa cả, ấm nước... [serious] Khi viết xong các cậu phải kiểm tra hai lỗi. [deliberate] Lỗi một là TRÙNG — hai món thật ra gần như một thứ, thì phải loại ra. [thoughtful] Lỗi hai là, ừm,  hơi NHẠT NHẼO — kiểu như món đó chẳng có gì thú vị để đưa vào trò chơi ấy. [curious] Muốn kiểm tra, hãy hỏi: “Nếu món này thành một chiếc thẻ, nó có thể làm được gì?” [playful] Ví dụ như Cái ấm nước có thể hú còi. Cái rổ có thể giữ đồ. [encouraging] Nếu nghĩ mãi chẳng ra gì, thử đổi sang món khác, hoặc hỏi bố mẹ, anh chị xem nhé!","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH + CHỐT + OUTRO,4:00–5:30,"Bây giờ đến lượt các cậu. Đầu tiên, chọn một chủ đề thật gần với mình hoặc chủ đề cậu thích ơi là thích. Sau đó tìm đủ 12 thứ cùng một nhóm. Cuối cùng, đọc lại cả danh sách và kiểm tra: có món nào trùng không? Có món nào quá nhạt nhẽo không? Sửa xong thì giữ thật kỹ danh sách này nhé, vì những bài sau chúng mình sẽ biến từng món thành những chiếc thẻ thật sự.

Và nhớ câu hôm nay: Bí thì đi nhìn, đi hỏi, rồi mới nhờ AKI giúp. Ý tưởng ở quanh các cậu nhiều hơn các cậu nghĩ đấy.

Buổi sau, chúng mình sẽ bắt đầu phù phép mặt thẻ, để 12 thứ bình thường này biến thành một bộ thẻ có thể chơi được. Tớ chờ các cậu! Bái bai!","[encouraging] Bây giờ đến lượt các cậu. [deliberate] Đầu tiên, chọn một chủ đề thật gần với mình hoặc chủ đề cậu thích ơi là thích. [calm] Sau đó tìm đủ 12 thứ cùng một nhóm. [serious] Cuối cùng, đọc lại cả danh sách và kiểm tra: có món nào trùng không? Có món nào quá nhạt nhẽo không? [warm] Sửa xong thì giữ thật kỹ danh sách này nhé, vì những bài sau chúng mình sẽ biến từng món thành những chiếc thẻ thật sự.

[emphasized] Và nhớ câu hôm nay: Bí thì đi nhìn, đi hỏi, rồi mới nhờ AKI giúp. [warm] Ý tưởng ở quanh các cậu nhiều hơn các cậu nghĩ đấy.

[excited] Buổi sau, chúng mình sẽ bắt đầu phù phép mặt thẻ, để 12 thứ bình thường này biến thành một bộ thẻ có thể chơi được. [cheerful] Tớ chờ các cậu! Bái bai!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
,,,,,,,,
Bài 5.2 — PHÙ PHÉP MẶT THẺ,,,,,,,,
1.2,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay mình đến với bài 5.2: Phù phép mặt thẻ. Lấy danh sách 12 món của buổi trước ra nhé. Hôm nay chúng mình sẽ biến mỗi món thành một chiếc thẻ có điểm mạnh, điểm yếu và kỹ năng riêng.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [curious] Hôm nay mình đến với bài 5.2: Phù phép mặt thẻ. [encouraging] Lấy danh sách 12 món của buổi trước ra nhé. [excited] Hôm nay chúng mình sẽ biến mỗi món thành một chiếc thẻ có điểm mạnh, điểm yếu và kỹ năng riêng.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–0:50,"Hôm trước Kora làm một bộ thẻ rồi tổ chức thi đấu. Lá mạnh nhất có Sức 10 – Nhanh 10 – Khéo 10, còn những lá khác chỉ có một, hai điểm. Kết quả? Lá ấy thắng hết. Chơi vài ván là mọi người bỏ đi luôn, vì chưa lật bài cũng biết ai thắng rồi. Vậy trò chơi muốn vui thì các lá phải cân bằng.","[calm] Hôm trước Kora làm một bộ thẻ rồi tổ chức thi đấu. [deliberate] Lá mạnh nhất có Sức 10 – Nhanh 10 – Khéo 10, còn những lá khác chỉ có một, hai điểm. [curious] Kết quả? [surprised] Lá ấy thắng hết. [disappointed] Chơi vài ván là mọi người bỏ đi luôn, vì chưa lật bài cũng biết ai thắng rồi. [emphasized] Vậy trò chơi muốn vui thì các lá phải cân bằng.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,0:50–2:00,"Hôm nay, tớ phát cho mỗi lá đúng 12 điểm, giống như mỗi lá được nhận một túi có 12 đồng điểm. Các cậu chia 12 điểm ấy vào ba ô: SỨC – NHANH – KHÉO. Vì sao là 12? Vì 12 vừa dễ cộng, vừa chia được thành nhiều kiểu khác nhau như 8–2–2, 6–4–2, 5–5–2 hay 4–4–4. Không quan trọng phải là đúng số 12 mãi mãi, quan trọng là tất cả các lá phải có cùng một tổng điểm.
Luật rất đơn giản: mạnh chỗ này thì phải bớt chỗ khác. Ví dụ cái chảo gang rất nặng, tớ cho Sức 8 – Nhanh 2 – Khéo 2. Tổng là 12. Còn đôi đũa nhẹ và nhanh hơn, có thể là Sức 2 – Nhanh 6 – Khéo 4. Cũng bằng 12. Hai lá khác hẳn nhau, nhưng không lá nào giỏi hết mọi thứ.","[cheerful] Hôm nay, tớ phát cho mỗi lá đúng 12 điểm, giống như mỗi lá được nhận một túi có 12 đồng điểm. [deliberate] Các cậu chia 12 điểm ấy vào ba ô: SỨC – NHANH – KHÉO. [curious] Vì sao là 12? [thoughtful] Vì 12 vừa dễ cộng, vừa chia được thành nhiều kiểu khác nhau như 8–2–2, 6–4–2, 5–5–2 hay 4–4–4. [serious] Không quan trọng phải là đúng số 12 mãi mãi, quan trọng là tất cả các lá phải có cùng một tổng điểm.
[emphasized] Luật rất đơn giản: mạnh chỗ này thì phải bớt chỗ khác. [calm] Ví dụ cái chảo gang rất nặng, tớ cho Sức 8 – Nhanh 2 – Khéo 2. Tổng là 12. [cheerful] Còn đôi đũa nhẹ và nhanh hơn, có thể là Sức 2 – Nhanh 6 – Khéo 4. Cũng bằng 12. [thoughtful] Hai lá khác hẳn nhau, nhưng không lá nào giỏi hết mọi thứ.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,4. LÀM CÙNG,2:00–4:00,"Tớ thử làm lá CÁI CHẢO nhé. Tớ cho Sức 9, Nhanh 4, Khéo 2. Cộng lại... 15! Ối, mọi lá chỉ có 12 đồng điểm mà cái chảo lại được tận 15. Thế là gian lận rồi. Tớ sửa thành 8 – 2 – 2. Vẫn rất khoẻ, nhưng chậm và hơi vụng. Thế mới công bằng.
Mỗi lá còn cần một kỹ năng riêng nữa. Kỹ năng nên liên quan đến chính món đồ đó. Ví dụ cái ấm nước có thể có kỹ năng: “Hú còi – đối thủ mất một lượt.” Cái rổ có thể: “Giữ đồ – bảo vệ một thẻ trong một lượt.” Phần này các cậu tự nghĩ nhé, vì đây chính là thứ làm bộ thẻ của mỗi người khác nhau.","[playful] Tớ thử làm lá CÁI CHẢO nhé. [deliberate] Tớ cho Sức 9, Nhanh 4, Khéo 2. [gasps] Cộng lại... 15! [surprised] Ối, mọi lá chỉ có 12 đồng điểm mà cái chảo lại được tận 15. [worried] Thế là gian lận rồi. [determined] Tớ sửa thành 8 – 2 – 2. [playful] Vẫn rất khoẻ, nhưng chậm và hơi vụng. [proud] Thế mới công bằng.
[cheerful] Mỗi lá còn cần một kỹ năng riêng nữa. [calm] Kỹ năng nên liên quan đến chính món đồ đó. [playful] Ví dụ cái ấm nước có thể có kỹ năng: “Hú còi – đối thủ mất một lượt.” Cái rổ có thể: “Giữ đồ – bảo vệ một thẻ trong một lượt.” [encouraging] Phần này các cậu tự nghĩ nhé, vì đây chính là thứ làm bộ thẻ của mỗi người khác nhau.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH + CHỐT + OUTRO,4:00–5:30,"Bây giờ đến lượt các cậu. Với từng lá, hãy ghi đủ: Tên thẻ – Sức – Nhanh – Khéo – Tổng điểm – Kỹ năng riêng. Nhớ kiểm tra: cả 12 lá đều phải có tổng bằng 12. Có lá nào mạnh hết ba ô không? Có lá nào yếu quá không? Nếu có thì chia lại điểm.
Xong rồi, hãy nhắc tớ lưu cả 12 lá vào BẢNG THIẾT KẾ BỘ THẺ. Trong bảng sẽ có tên thẻ, ba chỉ số, tổng điểm và kỹ năng riêng. Hãy chụp lại Bảng nhé, vì buổi sau chúng mình sẽ mở đúng bảng này ra để tạo hình cho từng lá.
Và nhớ câu hôm nay: Mỗi lá có cùng một túi điểm. Mạnh chỗ này thì phải bớt chỗ khác. Trò chơi hay là trò chơi mà chưa lật thẻ lên, mình vẫn chưa biết chắc ai sẽ thắng.
Buổi sau, chúng mình sẽ dùng Bảng thiết kế bộ thẻ để bắt đầu tạo hình cho cả 12 lá. Tớ chờ các cậu! Bái bai!","[encouraging] Bây giờ đến lượt các cậu. [deliberate] Với từng lá, hãy ghi đủ: Tên thẻ – Sức – Nhanh – Khéo – Tổng điểm – Kỹ năng riêng. [serious] Nhớ kiểm tra: cả 12 lá đều phải có tổng bằng 12. [curious] Có lá nào mạnh hết ba ô không? Có lá nào yếu quá không? [calm] Nếu có thì chia lại điểm.
[cheerful] Xong rồi, hãy nhắc tớ lưu cả 12 lá vào BẢNG THIẾT KẾ BỘ THẺ. [deliberate] Trong bảng sẽ có tên thẻ, ba chỉ số, tổng điểm và kỹ năng riêng. [encouraging] Hãy chụp lại Bảng nhé, vì buổi sau chúng mình sẽ mở đúng bảng này ra để tạo hình cho từng lá.
[emphasized] Và nhớ câu hôm nay: Mỗi lá có cùng một túi điểm. Mạnh chỗ này thì phải bớt chỗ khác. [thoughtful] Trò chơi hay là trò chơi mà chưa lật thẻ lên, mình vẫn chưa biết chắc ai sẽ thắng.
[excited] Buổi sau, chúng mình sẽ dùng Bảng thiết kế bộ thẻ để bắt đầu tạo hình cho cả 12 lá. [warm] Tớ chờ các cậu! Bái bai!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
,,,,,,,,
Bài 5.3 — KHOÁ THẺ,,,,,,,,
1.3,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay mình đến với bài 5.3: Khoá thẻ. Mở Bảng thiết kế bộ thẻ của buổi trước ra nhé. 12 cái tên, điểm số và kỹ năng đã có rồi. Hôm nay chúng mình sẽ biến chúng thành 12 chiếc thẻ thật sự.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [curious] Hôm nay mình đến với bài 5.3: Khoá thẻ. [encouraging] Mở Bảng thiết kế bộ thẻ của buổi trước ra nhé. [proud] 12 cái tên, điểm số và kỹ năng đã có rồi. [excited] Hôm nay chúng mình sẽ biến chúng thành 12 chiếc thẻ thật sự.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–0:50,"Hôm trước Riko tạo liền 12 hình. Hình nào cũng đẹp. Nhưng xếp cạnh nhau thì... ơ? Lá này giống tranh màu nước, lá kia lại giống truyện tranh. Lá nền trắng, lá nền đen. Có lá nhìn ngang, có lá nhìn từ trên xuống. 12 hình đẹp nhưng cứ như thuộc 12 bộ khác nhau.","[calm] Hôm trước Riko tạo liền 12 hình. [proud] Hình nào cũng đẹp. [confused] Nhưng xếp cạnh nhau thì... ơ? [deliberate] Lá này giống tranh màu nước, lá kia lại giống truyện tranh. [surprised] Lá nền trắng, lá nền đen. Có lá nhìn ngang, có lá nhìn từ trên xuống. [disappointed] 12 hình đẹp nhưng cứ như thuộc 12 bộ khác nhau.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,0:50–2:00,"Chọn một món trong danh sách, làm thật cẩn thận cho đến khi các cậu thích: kiểu vẽ, màu nền, góc nhìn, khung viền đều ổn. Sau đó giữ bức ấy làm Ảnh mẫu của bộ thẻ. Từ lá thứ hai trở đi, mỗi lần tạo, hãy gửi kèm ảnh mẫu và nhắc tớ: “Vẽ cùng phong cách với thẻ mẫu này.”
Nhưng chỉ có ảnh mẫu vẫn chưa đủ đâu nhé. Mình còn cần một CÔNG THỨC NỀN gồm bốn thứ không đổi: PHONG CÁCH – NỀN – GÓC NHÌN – KHUNG VIỀN. Ví dụ: nét truyện tranh rõ, màu phẳng – nền vàng nhạt – nhìn ngang, đồ vật ở giữa – khung bo tròn. Ảnh mẫu để tớ nhìn thấy bộ thẻ trông như thế nào, còn công thức để tớ biết những gì không được đổi.
Còn phần riêng của từng lá thì có hai cách. Cách một, các cậu tả bằng chữ. Ví dụ: “Một cái rổ nhựa màu xanh, có quai, đan thưa.” Cách hai còn vui hơn: nếu đó là món đồ thân quen trong nhà, các cậu có thể chụp một bức ảnh của chính món đồ ấy, gửi cho tớ rồi bảo: “Vẽ lại chiếc rổ này theo đúng phong cách của thẻ mẫu.” Như vậy bộ thẻ sẽ có những món đồ thật sự thuộc về thế giới của các cậu. Nhớ chỉ chụp đồ vật rõ ràng, tránh để người hay thông tin riêng xuất hiện trong ảnh nhé.","[calm] Chọn một món trong danh sách, làm thật cẩn thận cho đến khi các cậu thích: kiểu vẽ, màu nền, góc nhìn, khung viền đều ổn. [serious] Sau đó giữ bức ấy làm Ảnh mẫu của bộ thẻ. [deliberate] Từ lá thứ hai trở đi, mỗi lần tạo, hãy gửi kèm ảnh mẫu và nhắc tớ: “Vẽ cùng phong cách với thẻ mẫu này.”
[thoughtful] Nhưng chỉ có ảnh mẫu vẫn chưa đủ đâu nhé. [emphasized] Mình còn cần một CÔNG THỨC NỀN gồm bốn thứ không đổi: PHONG CÁCH – NỀN – GÓC NHÌN – KHUNG VIỀN. [deliberate] Ví dụ: nét truyện tranh rõ, màu phẳng – nền vàng nhạt – nhìn ngang, đồ vật ở giữa – khung bo tròn. [calm] Ảnh mẫu để tớ nhìn thấy bộ thẻ trông như thế nào, còn công thức để tớ biết những gì không được đổi.
[cheerful] Còn phần riêng của từng lá thì có hai cách. [deliberate] Cách một, các cậu tả bằng chữ. Ví dụ: “Một cái rổ nhựa màu xanh, có quai, đan thưa.” [playful] Cách hai còn vui hơn: nếu đó là món đồ thân quen trong nhà, các cậu có thể chụp một bức ảnh của chính món đồ ấy, gửi cho tớ rồi bảo: “Vẽ lại chiếc rổ này theo đúng phong cách của thẻ mẫu.” [warm] Như vậy bộ thẻ sẽ có những món đồ thật sự thuộc về thế giới của các cậu. [serious] Nhớ chỉ chụp đồ vật rõ ràng, tránh để người hay thông tin riêng xuất hiện trong ảnh nhé.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,4. LÀM CÙNG,2:00–4:00,"Tớ thử với lá CÁI RỔ. Tớ gửi ảnh mẫu của bộ, rồi chụp cái rổ nhà tớ và nhờ vẽ lại. Tạo xong... ơ, cái rổ lại nhìn từ trên xuống, trong khi cả bộ đều nhìn ngang. Lá lạc rồi! Tớ không bấm lại y nguyên. Tớ sửa mô tả cho rõ: “Giữ đúng phong cách thẻ mẫu. Vẽ chiếc rổ trong ảnh, nhìn ngang từ bên cạnh, đồ vật ở chính giữa.” Tạo lại. Đấy! Đặt cạnh lá mẫu là hòa ngay.","[playful] Tớ thử với lá CÁI RỔ. [calm] Tớ gửi ảnh mẫu của bộ, rồi chụp cái rổ nhà tớ và nhờ vẽ lại. [surprised] Tạo xong... ơ, cái rổ lại nhìn từ trên xuống, trong khi cả bộ đều nhìn ngang. [worried] Lá lạc rồi! [determined] Tớ không bấm lại y nguyên. [deliberate] Tớ sửa mô tả cho rõ: “Giữ đúng phong cách thẻ mẫu. Vẽ chiếc rổ trong ảnh, nhìn ngang từ bên cạnh, đồ vật ở chính giữa.” [calm] Tạo lại. [proud] Đấy! Đặt cạnh lá mẫu là hòa ngay.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH + CHỐT + OUTRO,4:00–5:30,"Bây giờ đến lượt các cậu. Đầu tiên, chọn một món và làm lá mẫu. Sau đó ghi lại Công thức nền. Với 11 lá còn lại, luôn gửi kèm ảnh mẫu, giữ nguyên công thức và chỉ thay phần riêng. Phần riêng có thể là câu mô tả của các cậu, hoặc một bức ảnh đồ vật thật để tớ vẽ lại.
Làm được vài lá thì đặt cạnh nhau kiểm tra luôn. Có lá nào khác kiểu vẽ không? Nền khác không? Góc nhìn khác không? Khung khác không? Nếu có, đó là lá lạc. Sửa câu lệnh rồi mới tạo lại.
Khi đủ 12 lá, xếp cả bộ ra một lượt. Các đồ vật có thể khác nhau hoàn toàn, nhưng vừa nhìn phải thấy ngay: “À, chúng thuộc cùng một bộ!”
Và nhớ câu hôm nay nhé: Ảnh mẫu giữ cả bộ cùng kiểu. Công thức nền giữ những thứ không đổi. Chỉ thay phần riêng của từng lá.
Buổi sau, chúng mình sẽ mang 12 chiếc thẻ này ra và viết Luật chơi để xem bộ thẻ có thật sự chơi được không. Tớ chờ các cậu! Bái bai!","[encouraging] Bây giờ đến lượt các cậu. [deliberate] Đầu tiên, chọn một món và làm lá mẫu. Sau đó ghi lại Công thức nền. [calm] Với 11 lá còn lại, luôn gửi kèm ảnh mẫu, giữ nguyên công thức và chỉ thay phần riêng. [cheerful] Phần riêng có thể là câu mô tả của các cậu, hoặc một bức ảnh đồ vật thật để tớ vẽ lại.
[serious] Làm được vài lá thì đặt cạnh nhau kiểm tra luôn. [curious] Có lá nào khác kiểu vẽ không? Nền khác không? Góc nhìn khác không? Khung khác không? [thoughtful] Nếu có, đó là lá lạc. Sửa câu lệnh rồi mới tạo lại.
[excited] Khi đủ 12 lá, xếp cả bộ ra một lượt. [calm] Các đồ vật có thể khác nhau hoàn toàn, nhưng vừa nhìn phải thấy ngay: “À, chúng thuộc cùng một bộ!”
[emphasized] Và nhớ câu hôm nay nhé: Ảnh mẫu giữ cả bộ cùng kiểu. Công thức nền giữ những thứ không đổi. [deliberate] Chỉ thay phần riêng của từng lá.
[excited] Buổi sau, chúng mình sẽ mang 12 chiếc thẻ này ra và viết Luật chơi để xem bộ thẻ có thật sự chơi được không. [warm] Tớ chờ các cậu! Bái bai!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
,,,,,,,,
Bài 5.4 — LUẬT CHƠI,,,,,,,,
