MODULE 1 — NHÀ THÁM HIỂM AI,,,,,,,
"Cậu tạo được hình ảnh đơn lẻ đúng ý mình. Sản phẩm: cuốn sổ sưu tầm 12–16 hình, dán tay, có bìa và tên. Câu chốt: tả càng rõ, AKI vẽ càng đúng.",,,,,,,
,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
,4. DẠY 1 KỸ NĂNG,2:00–4:00,"Hôm nay mình học đúng một thứ thôi nhé. Nó tên là LỜI TẢ, hay còn gọi là CÂU LỆNH. Trong đầu các cậu lúc nào cũng có hình. Các cậu vừa nghĩ tới con mèo là trong đầu hiện ra ngay một con mèo. Con mèo của riêng các cậu, không giống của ai. Nhưng mà... tớ không nhìn được vào trong đầu các cậu. Tớ chỉ đọc được chữ các cậu viết ra thôi. Cho nên chỗ nào các cậu không tả, tớ sẽ tự điền vào. Các cậu không nói con mèo màu gì, tớ tự chọn màu. Các cậu không nói nó đang làm gì, tớ cho nó đứng. Các cậu không nói nó ở đâu, tớ cho nó đứng giữa nền xám. Ừm... y hệt con mèo lúc nãy đấy. Nhớ câu này giúp tớ nhé: chỗ nào các cậu bỏ trống, thì Ây ai như tớ sẽ tự điền vào. Hãy đọc lại cùng tớ nào. Chỗ nào các cậu bỏ trống..Ây ai sẽ điền vào. Vậy muốn tớ vẽ đúng ý các cậu thì các cậu phải làm gì nhỉ? Đúng rồi. Tả cho rõ. Đừng bỏ trống chỗ nào cả nha. ","[calm] Hôm nay mình học đúng một thứ thôi nhé. [emphasized] Nó tên là LỜI TẢ, hay còn gọi là CÂU LỆNH. [warm] Trong đầu các cậu lúc nào cũng có hình. [playful] Các cậu vừa nghĩ tới con mèo là trong đầu hiện ra ngay một con mèo. [warm] Con mèo của riêng các cậu, không giống của ai. [whispers] Nhưng mà... tớ không nhìn được vào trong đầu các cậu. [calm] Tớ chỉ đọc được chữ các cậu viết ra thôi. [serious] Cho nên chỗ nào các cậu không tả, tớ sẽ tự điền vào. [deliberate] Các cậu không nói con mèo màu gì, tớ tự chọn màu. Các cậu không nói nó đang làm gì, tớ cho nó đứng. [slowly] Các cậu không nói nó ở đâu, tớ cho nó đứng giữa nền xám. [sighs] Ừm... y hệt con mèo lúc nãy đấy. [deliberate] Nhớ câu này giúp tớ nhé: [emphasized] chỗ nào các cậu bỏ trống, thì Ây ai như tớ sẽ tự điền vào. [encouraging] Hãy đọc lại cùng tớ nào. [emphasized] Chỗ nào các cậu bỏ trống..Ây ai sẽ điền vào. [curious] Vậy muốn tớ vẽ đúng ý các cậu thì các cậu phải làm gì nhỉ? [proud] Đúng rồi. [encouraging] Tả cho rõ. Đừng bỏ trống chỗ nào cả nha. ","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,5. LÀM CÙNG,4:00–5:30,"Giờ mình làm cùng nhau nhé. Tớ sửa lại con mèo lúc nãy, sửa từng chút một thôi. Bắt đầu: con mèo. Thêm một điều nhé. Con mèo MƯỚP. Thấy vằn hiện ra chưa? Thêm nữa. Con mèo mướp BÉO. Nó đang làm gì? Đang NGỦ. Ồ, nó nằm xuống rồi! Ngủ ở đâu? Trên GHẾ MÂY. Cái ghế đặt ở đâu? CẠNH CỬA SỔ. Xong. Đây mới đúng là con mèo trong đầu tớ. Các cậu để ý chưa, nãy giờ tớ có bấm lại lần nào đâu nhỉ? Tớ chỉ thêm chữ thôi.","[excited] Giờ mình làm cùng nhau nhé. [calm] Tớ sửa lại con mèo lúc nãy, sửa từng chút một thôi. [deliberate] Bắt đầu: con mèo. [playful] Thêm một điều nhé. Con mèo MƯỚP. [curious] Thấy vằn hiện ra chưa? [cheerful] Thêm nữa. Con mèo mướp BÉO. [curious] Nó đang làm gì? Đang NGỦ. [surprised] Ồ, nó nằm xuống rồi! [curious] Ngủ ở đâu? Trên GHẾ MÂY. [deliberate] Cái ghế đặt ở đâu? CẠNH CỬA SỔ. [proud] Xong. [warm] Đây mới đúng là con mèo trong đầu tớ. [curious] Các cậu để ý chưa, nãy giờ tớ có bấm lại lần nào đâu nhỉ? [emphasized] Tớ chỉ thêm chữ thôi.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,6. THỬ THÁCH,5:30–6:30,"Đến lượt các cậu rồi. Việc hôm nay thế này nhé. Chọn một con vật các cậu thích, con nào cũng được. Lần một: viết đúng MỘT TỪ rồi tạo. Lần hai: viết cho đủ NĂM điều rồi tạo. Sau đó, hãy lưu cả 2 hình về. Rồi khoe với bố mẹ và chia sẻ được: các cậu thích bức nào hơn, và vì sao. Với lại mỗi dự án các cậu có sáu lượt tạo. Sáu thôi đấy. Ít thế thì phải tả cho khéo vào. Mà tả khéo thì đúng là cái mình vừa học rồi còn gì, đúng không nào? Hãy bấm dừng và cùng tạo luôn nhé!","[excited] Đến lượt các cậu rồi. [cheerful] Việc hôm nay thế này nhé. [calm] Chọn một con vật các cậu thích, con nào cũng được. [deliberate] Lần một: viết đúng MỘT TỪ rồi tạo. [deliberate] Lần hai: viết cho đủ NĂM điều rồi tạo. [gentle] Sau đó, hãy lưu cả 2 hình về. [encouraging] Rồi khoe với bố mẹ và chia sẻ được: các cậu thích bức nào hơn, và vì sao. [serious] Với lại mỗi dự án các cậu có sáu lượt tạo. [emphasized] Sáu thôi đấy. [thoughtful] Ít thế thì phải tả cho khéo vào. [playful] Mà tả khéo thì đúng là cái mình vừa học rồi còn gì, đúng không nào? [excited] Hãy bấm dừng và cùng tạo luôn nhé!","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,7. CHỐT + OUTRO,6:30–7:00,"Và cuối cùng, trước khi kết thúc Video này, các cậu nhớ câu này nhé: miêu tả càng rõ, tớ vẽ càng đúng. Việc ngoài màn hình hôm nay: đi một vòng quanh nhà, chọn lấy bốn đồ vật. Nhìn cho thật kỹ vào nhé, buổi sau chúng mình cần đến chúng đấy. Cùng với tớ bay vèo sang bài học sau nhaaa...","[calm] Và cuối cùng, trước khi kết thúc Video này, các cậu nhớ câu này nhé: [emphasized] miêu tả càng rõ, tớ vẽ càng đúng. [deliberate] Việc ngoài màn hình hôm nay: đi một vòng quanh nhà, chọn lấy bốn đồ vật. [encouraging] Nhìn cho thật kỹ vào nhé, buổi sau chúng mình cần đến chúng đấy. [warm] Cùng với tớ bay vèo sang bài học sau nhaaa...","Mèo AKI chia sẻ 1 mình, Popup Text",,
,,,,,,,
Bài 1.2 — Bốn chiếc chìa khoá,,,,,,,
1.2,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây ai Kít mở cửa rồi! Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. Hôm nay mình cùng đến với bài học số 2 của chủ đề NHÀ THÁM HIỂM ÂY AI - Bốn chiếc chìa khoá","[excited] Xưởng sáng tạo Ây ai Kít mở cửa rồi! [giggles] Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. [cheerful] Hôm nay mình cùng đến với bài học số 2 của chủ đề NHÀ THÁM HIỂM ÂY AI - [curious] Bốn chiếc chìa khoá","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,
,2. HOOK,0:15–0:50,"Bài trước mình biết được một điều rồi: phải tả cho rõ. Thế nhưng... rõ là rõ CÁI GÌ nhỉ? Hôm nọ Zico đã làm thế này. Cậu ấy tả: Một con mèo rất đẹp, rất là đẹp, đẹp lắm luôn, tớ rất thích nó, nó đáng yêu vô cùng..."" Hả? Zico viết dài thế cơ mà! Ờ thì... hoá ra dài chưa chắc đã rõ. Tớ đã tìm ra cho các cậu 4 chiếc chìa khoá vô cùng quan trọng.","[calm] Bài trước mình biết được một điều rồi: phải tả cho rõ. [curious] Thế nhưng... rõ là rõ CÁI GÌ nhỉ? [thoughtful] Hôm nọ Zico đã làm thế này. [deliberate] Cậu ấy tả: [excited] Một con mèo rất đẹp, rất là đẹp, đẹp lắm luôn, tớ rất thích nó, nó đáng yêu vô cùng..."" [confused] Hả? [surprised] Zico viết dài thế cơ mà! [thoughtful] Ờ thì... hoá ra dài chưa chắc đã rõ. [excited] Tớ đã tìm ra cho các cậu 4 chiếc chìa khoá vô cùng quan trọng.", Tình huống,,
,3. XEM MẪU,0:50–2:00,"Thế là Zico đã viết lại, Đây là câu tả hôm qua của cậu ấy. Tớ cắt nó ra làm bốn phần, mỗi phần một màu nhé. Xanh: CON MÈO. Đây là nó là cái gì?. Vàng: MƯỚP, BÉO. Đây là nó trông như thế nào?. Cam: ĐANG NGỦ. Đây là nó đang làm gì?. Đỏ: TRÊN GHẾ MÂY CẠNH CỬA SỔ. Đây là nó ở đâu?. Bốn phần. Câu tả nào tốt cũng có đủ bốn cả. 
Giờ các cậu soi giúp AKI hai câu lệnh này nhé. Thiếu chìa khoá nào nha? Một con chó xù màu nâu đang chạy. Thiếu gì?  Thiếu Ở ĐÂU. Nên tớ cho nó chạy giữa nền trắng trơn, chẳng ra đâu vào đâu. Một con voi trong rừng. Thiếu gì?  Thiếu TRÔNG NHƯ THẾ NÀO, thiếu luôn cả ĐANG LÀM GÌ. Nên nó đứng đơ ra thế kia.","[cheerful] Thế là Zico đã viết lại, Đây là câu tả hôm qua của cậu ấy. [playful] Tớ cắt nó ra làm bốn phần, mỗi phần một màu nhé. [deliberate] Xanh: CON MÈO. Đây là nó là cái gì?. [slowly] Vàng: MƯỚP, BÉO. Đây là nó trông như thế nào?. [deliberate] Cam: ĐANG NGỦ. Đây là nó đang làm gì?. [emphasized] Đỏ: TRÊN GHẾ MÂY CẠNH CỬA SỔ. Đây là nó ở đâu?. [proud] Bốn phần. [serious] Câu tả nào tốt cũng có đủ bốn cả. 
[curious] Giờ các cậu soi giúp AKI hai câu lệnh này nhé. [playful] Thiếu chìa khoá nào nha? [deliberate] Một con chó xù màu nâu đang chạy. [curious] Thiếu gì?  [emphasized] Thiếu Ở ĐÂU. [sighs] Nên tớ cho nó chạy giữa nền trắng trơn, chẳng ra đâu vào đâu. [deliberate] Một con voi trong rừng. [curious] Thiếu gì?  [emphasized] Thiếu TRÔNG NHƯ THẾ NÀO, thiếu luôn cả ĐANG LÀM GÌ. [disappointed] Nên nó đứng đơ ra thế kia.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,4. DẠY 1 KỸ NĂNG,2:00–4:00,"Bốn chiếc chìa khoá. Tớ đọc, các cậu nhớ nhé. Chìa thứ nhất: CÁI GÌ. Con mèo. Cái cốc. Cái xe đạp. Dễ nhất, ai cũng viết được. Chìa thứ hai: TRÔNG NHƯ THẾ NÀO. Màu gì, to hay nhỏ, cũ hay mới, nhẵn hay xù. Chìa thứ ba: ĐANG LÀM GÌ. Cái này quan trọng lắm mà lại hay bị quên nhất. Nhiều bạn nghĩ đồ vật thì làm gì được đâu. Được chứ! Cái cốc đang bốc khói. Cái xe đạp đang dựa vào tường. Quyển sách đang mở dở ở trang giữa. Chìa thứ tư: Ở ĐÂU. Trên bàn, dưới gốc cây, cạnh cửa sổ. Điền đủ bốn ô là AKI hết chỗ để đoán bừa rồi. Mình đọc lại một lần cho thuộc nhé. CÁI GÌ...  ...TRÔNG NHƯ THẾ NÀO...  ...ĐANG LÀM GÌ...  ...Ở ĐÂU. Bốn chiếc. Nhớ nhé.","[excited] Bốn chiếc chìa khoá. [calm] Tớ đọc, các cậu nhớ nhé. [deliberate] Chìa thứ nhất: CÁI GÌ. [playful] Con mèo. Cái cốc. Cái xe đạp. [cheerful] Dễ nhất, ai cũng viết được. [deliberate] Chìa thứ hai: TRÔNG NHƯ THẾ NÀO. [slowly] Màu gì, to hay nhỏ, cũ hay mới, nhẵn hay xù. [deliberate] Chìa thứ ba: ĐANG LÀM GÌ. [serious] Cái này quan trọng lắm mà lại hay bị quên nhất. [thoughtful] Nhiều bạn nghĩ đồ vật thì làm gì được đâu. [excited] Được chứ! [playful] Cái cốc đang bốc khói. Cái xe đạp đang dựa vào tường. Quyển sách đang mở dở ở trang giữa. [deliberate] Chìa thứ tư: Ở ĐÂU. [slowly] Trên bàn, dưới gốc cây, cạnh cửa sổ. [proud] Điền đủ bốn ô là AKI hết chỗ để đoán bừa rồi. [encouraging] Mình đọc lại một lần cho thuộc nhé. [emphasized] CÁI GÌ...  ...TRÔNG NHƯ THẾ NÀO...  [deliberate] ...ĐANG LÀM GÌ...  ...Ở ĐÂU. [proud] Bốn chiếc. [warm] Nhớ nhé.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,5. LÀM CÙNG,4:00–5:30,"Mình thử ngay với một thứ trong xưởng này nhé. Cái cốc của tớ đây. Ô một: cái gì? Các cậu điền gì nào?  Tớ điền: một cái cốc. Ô hai: trông như thế nào?  Cốc sứ trắng, có một vết mẻ ở miệng. Ô ba: đang làm gì?  Đang bốc khói. Ô bốn: ở đâu?  Trên bàn gỗ, cạnh một cuốn sổ mở. (nút Tạo sáng lên) Ơ, nút Tạo sáng lên rồi kìa. Nãy giờ nó xám là vì tớ chưa điền đủ bốn ô đấy. Soi lại nào. Cốc, có. Sứ trắng mẻ miệng, có. Bốc khói, có. Trên bàn gỗ cạnh cuốn sổ, có. Bốn trên bốn. Tớ làm đúng vì các cậu đã nói đủ.","[excited] Mình thử ngay với một thứ trong xưởng này nhé. [cheerful] Cái cốc của tớ đây. [curious] Ô một: cái gì? [encouraging] Các cậu điền gì nào?  [deliberate] Tớ điền: một cái cốc. [curious] Ô hai: trông như thế nào?  [deliberate] Cốc sứ trắng, có một vết mẻ ở miệng. [curious] Ô ba: đang làm gì?  [playful] Đang bốc khói. [curious] Ô bốn: ở đâu?  [deliberate] Trên bàn gỗ, cạnh một cuốn sổ mở. (nút Tạo sáng lên) [surprised] Ơ, nút Tạo sáng lên rồi kìa. [thoughtful] Nãy giờ nó xám là vì tớ chưa điền đủ bốn ô đấy. [playful] Soi lại nào. [deliberate] Cốc, có. Sứ trắng mẻ miệng, có. Bốc khói, có. Trên bàn gỗ cạnh cuốn sổ, có. [proud] Bốn trên bốn. [warm] Tớ làm đúng vì các cậu đã nói đủ.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,6. THỬ THÁCH,5:30–6:30,Nhớ bốn món đồ các cậu đi chọn hôm trước không? Lấy ra dùng bây giờ nhé. Mỗi món đồ điền đủ bốn chìa khoá rồi tạo. Cầm món đồ đó lên. Xoay nó một vòng. Nhìn cho kỹ vào rồi mới tả. Vì mắt các cậu nhìn ra được nhiều thứ hơn trí nhớ của các cậu nhiều lắm đấy.,[curious] Nhớ bốn món đồ các cậu đi chọn hôm trước không? [excited] Lấy ra dùng bây giờ nhé. [deliberate] Mỗi món đồ điền đủ bốn chìa khoá rồi tạo. [playful] Cầm món đồ đó lên. Xoay nó một vòng. [encouraging] Nhìn cho kỹ vào rồi mới tả. [warm] Vì mắt các cậu nhìn ra được nhiều thứ hơn trí nhớ của các cậu nhiều lắm đấy.,"Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,7. CHỐT + OUTRO,6:30–7:00,"Tả càng rõ, Ây Ai vẽ càng đúng. Mà rõ nghĩa là đủ bốn chiếc chìa khoá nhé. Việc ngoài màn hình: hãy đưa những bức hình cậu tạo được cho một người trong nhà xem. Đừng nói gì cả, để họ đoán xem các cậu đã tả cái gì. Họ đoán trúng là các cậu tả tốt đấy. Buổi sau sẽ là Úm ba la... biến hình. Cùng một con vật mà vẽ ra được bốn kiểu khác hẳn nhau cơ. Tớ chờ các cậu!","[emphasized] Tả càng rõ, Ây Ai vẽ càng đúng. [deliberate] Mà rõ nghĩa là đủ bốn chiếc chìa khoá nhé. [calm] Việc ngoài màn hình: hãy đưa những bức hình cậu tạo được cho một người trong nhà xem. [mischievous] Đừng nói gì cả, để họ đoán xem các cậu đã tả cái gì. [proud] Họ đoán trúng là các cậu tả tốt đấy. [excited] Buổi sau sẽ là Úm ba la... biến hình. [amazed] Cùng một con vật mà vẽ ra được bốn kiểu khác hẳn nhau cơ. [warm] Tớ chờ các cậu!","Mèo AKI chia sẻ 1 mình, Popup Text",,
,,,,,,,
Bài 1.3 — Úm ba la... Biến hình,,,,,,,
1.3,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây ai Kít mở cửa rồi! Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. Hôm nay mình cùng đến với bài 1.3: Úm ba la... Biến hình. ","[excited] Xưởng sáng tạo Ây ai Kít mở cửa rồi! [giggles] Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. [cheerful] Hôm nay mình cùng đến với bài 1.3: [playful] Úm ba la... Biến hình","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,
,2. HOOK,0:15–0:50,"Nhìn cái này đi. Tớ có Bốn bức tranh. Bốn con trâu. Giờ tớ nói các cậu nghe một điều lạ nhé: bốn bức này tớ tả GIỐNG HỆT nhau. Từng chữ một, tớ không đổi chữ nào cả. Thế mà chúng khác nhau đến thế. Các cậu đoán xem tớ đã đổi cái gì nhỉ?","[excited] Nhìn cái này đi. [deliberate] Tớ có Bốn bức tranh. Bốn con trâu. [mischievous] Giờ tớ nói các cậu nghe một điều lạ nhé: [emphasized] bốn bức này tớ tả GIỐNG HỆT nhau. [serious] Từng chữ một, tớ không đổi chữ nào cả. [amazed] Thế mà chúng khác nhau đến thế. [curious] Các cậu đoán xem tớ đã đổi cái gì nhỉ?", Tình huống,,
,3. XEM MẪU,0:50–2:00,"Tớ chỉ đổi đúng một điều ở cuối câu thôi. Là KIỂU VẼ. Bức một: màu nước. Nhìn cái viền xem, nó nhoè ra, màu loang vào nhau như bị ướt ấy. Bức hai: truyện tranh. Nét đen đậm, màu phẳng lì, không có bóng đổ. Bức ba: đất nặn. Có khối, có bóng. Nhìn là muốn thò tay ra cầm. Bức bốn: tranh Đông Hồ. Nét mộc, màu điệp, in trên giấy dó. Đây là tranh của người Việt mình đấy nhé. Có từ mấy trăm năm rồi, các cụ vẫn in bằng ván gỗ. Các cậu thấy chưa: kiểu vẽ không đổi con trâu. Kiểu vẽ đổi CÁCH vẽ con trâu.","[calm] Tớ chỉ đổi đúng một điều ở cuối câu thôi. [emphasized] Là KIỂU VẼ. [deliberate] Bức một: màu nước. [gentle] Nhìn cái viền xem, nó nhoè ra, màu loang vào nhau như bị ướt ấy. [deliberate] Bức hai: truyện tranh. [playful] Nét đen đậm, màu phẳng lì, không có bóng đổ. [deliberate] Bức ba: đất nặn. [amazed] Có khối, có bóng. Nhìn là muốn thò tay ra cầm. [deliberate] Bức bốn: tranh Đông Hồ. [slowly] Nét mộc, màu điệp, in trên giấy dó. [proud] Đây là tranh của người Việt mình đấy nhé. [thoughtful] Có từ mấy trăm năm rồi, các cụ vẫn in bằng ván gỗ. [curious] Các cậu thấy chưa: kiểu vẽ không đổi con trâu. [emphasized] Kiểu vẽ đổi CÁCH vẽ con trâu.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,4. DẠY 1 KỸ NĂNG,2:00–4:00,"Kỹ năng hôm nay dễ thôi: thêm tên kiểu vẽ vào cuối câu tả bốn ô. Thế là xong. Nhưng có một chuyện tớ phải nói cho rõ. Và tớ nói thẳng, không vòng vo nhé. Mình gọi tên KIỂU VẼ: màu nước, truyện tranh, đất nặn, tranh Đông Hồ. Cái này được. Nhưng cậu KHÔNG được gọi tên một cô chú hoạ sĩ còn đang sống rồi bảo tớ vẽ giống hệt người ta. Vì sao ư?  Vì cách vẽ đó là của người ta. Người ta mất nhiều năm mới tìm ra được nó. Có khi mất cả đời. Ừm... giống như bài tập của các cậu là của các cậu vậy. Ai chép cũng không được. Kiểu vẽ thì chung, ai dùng cũng được. Còn tên người thì riêng. Nhớ nhé.","[cheerful] Kỹ năng hôm nay dễ thôi: [deliberate] thêm tên kiểu vẽ vào cuối câu tả bốn ô. [proud] Thế là xong. [serious] Nhưng có một chuyện tớ phải nói cho rõ. [determined] Và tớ nói thẳng, không vòng vo nhé. [deliberate] Mình gọi tên KIỂU VẼ: màu nước, truyện tranh, đất nặn, tranh Đông Hồ. [calm] Cái này được. [serious] Nhưng cậu KHÔNG được gọi tên một cô chú hoạ sĩ còn đang sống rồi bảo tớ vẽ giống hệt người ta. [curious] Vì sao ư?  [thoughtful] Vì cách vẽ đó là của người ta. [gentle] Người ta mất nhiều năm mới tìm ra được nó. Có khi mất cả đời. [warm] Ừm... giống như bài tập của các cậu là của các cậu vậy. [emphasized] Ai chép cũng không được. [deliberate] Kiểu vẽ thì chung, ai dùng cũng được. Còn tên người thì riêng. [warm] Nhớ nhé.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
,5. LÀM CÙNG,4:00–5:30,"Mình thử với con cún của AKI nhé. Câu tả giữ nguyên, chỉ đổi chữ cuối thôi. Màu nước. Truyện tranh. Đất nặn. Đông Hồ. Bốn bức, đẹp cả bốn. Giờ mới đến phần khó: chọn lấy một. Tớ chọn màu nước. Vì sao à? Vì tớ định treo bức này ở đầu giường. Màu nước nhìn êm êm, tớ ngủ ngon. Đấy. Chọn xong là phải nói được vì sao nhé. Không phải kiểu cái nào cũng được rồi lấy đại đâu.","[excited] Mình thử với con cún của AKI nhé. [calm] Câu tả giữ nguyên, chỉ đổi chữ cuối thôi. [deliberate] Màu nước. Truyện tranh. Đất nặn. Đông Hồ. [proud] Bốn bức, đẹp cả bốn. [thoughtful] Giờ mới đến phần khó: chọn lấy một. [determined] Tớ chọn màu nước. [curious] Vì sao à? [warm] Vì tớ định treo bức này ở đầu giường. [gentle] Màu nước nhìn êm êm, tớ ngủ ngon. [playful] Đấy. [emphasized] Chọn xong là phải nói được vì sao nhé. [serious] Không phải kiểu cái nào cũng được rồi lấy đại đâu.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
